World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Publications,Influence,Citations,Broad Impact,Patents,Score
1,Harvard University,USA,1,1,1,1,1,1,1,1,2,100
Top 0.1%,,,,,,,,,,,,
2,Stanford University,USA,2,8,2,2,5,3,2,3,7,96.86
Top 0.1%,,,,,,,,,,,,
3,Massachusetts Institute of Technology,USA,3,2,12,3,14,2,3,2,1,95.72
Top 0.1%,,,,,,,,,,,,
4,University of Cambridge,United Kingdom,1,3,10,6,10,7,17,13,52,93.14
Top 0.1%,,,,,,,,,,,,
5,University of Oxford,United Kingdom,2,7,14,9,6,6,4,9,19,92.2
Top 0.1%,,,,,,,,,,,,
6,Columbia University,USA,4,13,6,10,13,12,13,14,4,90.8
Top 0.1%,,,,,,,,,,,,
7,"University of California, Berkeley",USA,5,6,24,5,12,4,7,7,22,88.26
Top 0.1%,,,,,,,,,,,,
8,University of Chicago,USA,6,11,13,8,23,17,11,16,85,87.13
Top 0.1%,,,,,,,,,,,,
9,Princeton University,USA,7,4,15,4,99,26,23,39,122,86.04
Top 0.1%,,,,,,,,,,,,
10,Yale University,USA,8,9,27,11,17,10,32,18,48,81.2
Top 0.1%,,,,,,,,,,,,
11,California Institute of Technology,USA,9,5,339,7,82,13,23,28,13,80.46
Top 0.1%,,,,,,,,,,,,
12,Cornell University,USA,10,10,17,16,22,15,37,22,12,79.73
Top 0.1%,,,,,,,,,,,,
13,University of Tokyo,Japan,1,14,3,29,16,22,29,33,8,76.8
Top 0.1%,,,,,,,,,,,,
14,University of Pennsylvania,USA,11,24,4,27,11,18,12,11,11,73.9
Top 0.1%,,,,,,,,,,,,
15,"University of California, Los Angeles",USA,12,37,28,12,8,14,9,8,6,71.83
Top 0.1%,,,,,,,,,,,,
16,Johns Hopkins University,USA,13,17,91,18,4,11,4,4,3,67.15
Top 0.1%,,,,,,,,,,,,
17,Northwestern University,USA,14,150,11,43,27,37,29,25,46,65.02
Top 0.1%,,,,,,,,,,,,
18,"University of California, San Diego",USA,15,23,616+,17,15,5,18,17,15,64.87
Top 0.1%,,,,,,,,,,,,
19,New York University,USA,16,35,21,20,48,29,32,32,51,64.36
Top 0.1%,,,,,,,,,,,,
20,"University of California, San Francisco",USA,17,383+,616+,14,21,8,16,9,60,64.36
Top 0.1%,,,,,,,,,,,,
21,Kyoto University,Japan,2,18,18,23,43,49,103,93,14,64.06
Top 0.1%,,,,,,,,,,,,
22,University of Michigan,USA,18,27,20,141,3,20,10,12,10,63.9
Top 0.1%,,,,,,,,,,,,
23,Seoul National University,South Korea,1,383+,9,240+,40,159,153,113,9,62.23
Top 0.1%,,,,,,,,,,,,
24,Swiss Federal Institute of Technology in Zurich,Switzerland,1,19,52,19,44,25,50,81,50,61.18
Top 0.1%,,,,,,,,,,,,
25,University of Washington,USA,19,46,115,24,9,9,6,5,25,60.66
Top 0.1%,,,,,,,,,,,,
26,University of Wisconsin–Madison,USA,20,32,30,36,24,28,20,30,18,60.46
Top 0.1%,,,,,,,,,,,,
27,Hebrew University of Jerusalem,Israel,1,16,217,15,133,119,278,168,37,59.12
Top 0.1%,,,,,,,,,,,,
28,University of Toronto,Canada,1,44,71,22,2,16,8,6,205,59.09
Top 0.2%,,,,,,,,,,,,
29,Duke University,USA,21,85,32,49,19,23,13,15,26,58.84
Top 0.2%,,,,,,,,,,,,
30,University of Texas at Austin,USA,22,71,29,28,60,57,27,66,31,58.3
Top 0.2%,,,,,,,,,,,,
31,University College London,United Kingdom,3,20,439,35,7,19,26,22,77,58.14
Top 0.2%,,,,,,,,,,,,
32,Keio University,Japan,3,308,5,240+,315,256,415,286,72,57.63
Top 0.2%,,,,,,,,,,,,
33,Rockefeller University,USA,23,36,616+,13,412,33,302,105,255,57.53
Top 0.2%,,,,,,,,,,,,
34,Imperial College London,United Kingdom,4,60,68,39,18,24,18,21,33,57.23
Top 0.2%,,,,,,,,,,,,
35,École Polytechnique,France,1,107,7,187,394,334,234,313,209,56.63
Top 0.2%,,,,,,,,,,,,
36,University of Illinois at Urbana–Champaign,USA,24,26,77,26,49,59,45,75,56,56.1
Top 0.2%,,,,,,,,,,,,
37,Waseda University,Japan,4,311,8,240+,466,439,576,375,221,55.67
Top 0.2%,,,,,,,,,,,,
38,University of North Carolina at Chapel Hill,USA,25,144,70,62,28,31,15,20,40,55.19
Top 0.2%,,,,,,,,,,,,
39,Weizmann Institute of Science,Israel,2,21,616+,21,282,71,234,162,35,54.75
Top 0.2%,,,,,,,,,,,,
40,University of Virginia,USA,26,147,19,133,108,90,97,108,65,54.28
Top 0.2%,,,,,,,,,,,,
41,McGill University,Canada,2,33,38,56,37,52,40,41,99,54.17
Top 0.2%,,,,,,,,,,,,
42,École normale supérieure - Paris,France,2,12,514,75,413,172,576,317,913+,54.01
Top 0.2%,,,,,,,,,,,,
43,University of Pittsburgh,USA,27,87,147,240+,25,55,21,24,42,53.55
Top 0.2%,,,,,,,,,,,,
44,University of Edinburgh,United Kingdom,5,31,158,32,55,30,45,38,161,53.52
Top 0.2%,,,,,,,,,,,,
45,University of Southern California,USA,28,143,58,37,62,63,73,56,29,53.49
Top 0.2%,,,,,,,,,,,,
46,University of Minnesota,USA,29,67,141,69,20,34,34,28,57,53.41
Top 0.2%,,,,,,,,,,,,
47,Dartmouth College,USA,30,54,16,240+,248,179,213,182,78,53.35
Top 0.2%,,,,,,,,,,,,
48,Ohio State University,USA,31,83,97,60,30,51,35,35,47,53.33
Top 0.2%,,,,,,,,,,,,
49,Rutgers University,USA,32,106,41,31,74,62,66,61,66,53.31
Top 0.2%,,,,,,,,,,,,
50,Osaka University,Japan,5,51,35,78,77,68,167,103,16,53.22
Top 0.2%,,,,,,,,,,,,
51,"University of California, Davis",USA,33,41,280,66,33,38,38,51,53,52.73
Top 0.2%,,,,,,,,,,,,
52,National Taiwan University,Taiwan,1,74,22,240+,54,202,167,182,726,52.64
Top 0.2%,,,,,,,,,,,,
53,Washington University in St. Louis,USA,34,118,96,81,41,21,29,19,112,52.6
Top 0.2%,,,,,,,,,,,,
54,Peking University,China,1,174,34,240+,46,99,144,104,30,52.34
Top 0.2%,,,,,,,,,,,,
55,University of British Columbia,Canada,3,75,329,97,26,36,28,31,75,52.24
Top 0.2%,,,,,,,,,,,,
56,Pierre-and-Marie-Curie University,France,3,25,464,98,31,32,62,46,138,52.08
Top 0.3%,,,,,,,,,,,,
57,Boston University,USA,35,328,56,92,72,45,22,37,91,52.07
Top 0.3%,,,,,,,,,,,,
58,Pennsylvania State University,USA,36,172,61,72,39,42,43,51,68,52.07
Top 0.3%,,,,,,,,,,,,
59,University of Florida,USA,37,234,219,99,42,88,55,55,5,52.05
Top 0.3%,,,,,,,,,,,,
60,University of Copenhagen,Denmark,1,146,166,73,29,27,35,27,255,51.58
Top 0.3%,,,,,,,,,,,,
61,National University of Singapore,Singapore,1,383+,79,240+,34,107,81,84,26,51.56
Top 0.3%,,,,,,,,,,,,
62,University of Manchester,United Kingdom,6,111,92,80,45,67,23,43,134,51.55
Top 0.3%,,,,,,,,,,,,
63,Vanderbilt University,USA,38,94,76,116,59,54,38,46,69,51.23
Top 0.3%,,,,,,,,,,,,
64,Purdue University,USA,39,78,44,52,86,100,126,130,34,51.06
Top 0.3%,,,,,,,,,,,,
65,Tsinghua University,China,2,334,53,240+,52,130,89,113,28,51.04
Top 0.3%,,,,,,,,,,,,
66,"University of California, Santa Barbara",USA,40,112,335,38,145,73,45,68,57,50.89
Top 0.3%,,,,,,,,,,,,
67,Carnegie Mellon University,USA,41,29,106,25,225,233,138,154,122,50.89
Top 0.3%,,,,,,,,,,,,
68,University of Utah,USA,42,95,100,74,101,65,89,88,20,50.87
Top 0.3%,,,,,,,,,,,,
69,University of Colorado Boulder,USA,43,65,86,42,107,40,50,83,143,50.71
Top 0.3%,,,,,,,,,,,,
70,University of Paris-Sud,France,4,30,402,33,91,93,105,93,418,50.67
Top 0.3%,,,,,,,,,,,,
